ADC—Add
14 ib                                   |ADC AL, imm8
VEX.128.F3.0F.WIG 7E /r                 |VMOVQ xmm1, xmm2/m64
66 0F D6 /r                             |MOVQ xmm2/m64, xmm1
VEX.128.66.0F.WIG D6 /r                 |VMOVQ xmm1/m64, xmm2
MOVQ2DQ—Move
F3 0F D6 /r                             |MOVQ2DQ xmm, mm
MOVS/MOVSB/MOVSW/MOVSD/MOVSQ—Move
A4                                      |MOVS m8, m8
A5                                      |MOVS m16, m16
A5                                      |MOVS m32, m32
REX.W + A5                              |MOVS m64, m64
A4                                      |MOVSB
A5                                      |MOVSW
A5                                      |MOVSD
REX.W + A5                              |MOVSQ
MOVSD—Move
F2 0F 10 /r                             |MOVSD xmm1, xmm2
F2 0F 10 /r                             |MOVSD xmm1, m64
F2 0F 11 /r                             |MOVSD xmm1/m64, xmm2
VEX.LIG.F2.0F.WIG 10 /r                 |VMOVSD xmm1, xmm2, xmm3
VEX.LIG.F2.0F.WIG 10 /r                 |VMOVSD xmm1, m64
VEX.LIG.F2.0F.WIG 11 /r                 |VMOVSD xmm1, xmm2, xmm3
VEX.LIG.F2.0F.WIG 11 /r                 |VMOVSD m64, xmm1
MOVSHDUP—Replicate
F3 0F 16 /r                             |MOVSHDUP xmm1, xmm2/m128
VEX.128.F3.0F.WIG 16 /r                 |VMOVSHDUP xmm1, xmm2/m128
VEX.256.F3.0F.WIG 16 /r                 |VMOVSHDUP ymm1, ymm2/m256
MOVSLDUP—Replicate
F3 0F 12 /r                             |MOVSLDUP xmm1, xmm2/m128
VEX.128.F3.0F.WIG 12 /r                 |VMOVSLDUP xmm1, xmm2/m128
VEX.256.F3.0F.WIG 12 /r                 |VMOVSLDUP ymm1, ymm2/m256
MOVSS—Move
F3 0F 10 /r                             |MOVSS xmm1, xmm2
F3 0F 10 /r                             |MOVSS xmm1, m32
VEX.LIG.F3.0F.WIG 10 /r                 |VMOVSS xmm1, xmm2, xmm3
VEX.LIG.F3.0F.WIG 10 /r                 |VMOVSS xmm1, m32
F3 0F 11 /r                             |MOVSS xmm2/m32, xmm1
VEX.LIG.F3.0F.WIG 11 /r                 |VMOVSS xmm1, xmm2, xmm3
VEX.LIG.F3.0F.WIG 11 /r                 |VMOVSS m32, xmm1
MOVSX/MOVSXD—Move
0F BE /r                                |MOVSX r16, r/m8
0F BE /r                                |MOVSX r32, r/m8
REX.W + 0F BE /r                        |MOVSX r64, r/m8
0F BF /r                                |MOVSX r32, r/m16
REX.W + 0F BF /r                        |MOVSX r64, r/m16
63 /r                                   |MOVSXD r16, r/m16
63 /r                                   |MOVSXD r32, r/m32
REX.W + 63 /r                           |MOVSXD r64, r/m32
MOVUPD—Move
66 0F 10 /r                             |MOVUPD xmm1, xmm2/m128
66 0F 11 /r                             |MOVUPD xmm2/m128, xmm1
VEX.128.66.0F.WIG 10 /r                 |VMOVUPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 11 /r                 |VMOVUPD xmm2/m128, xmm1
VEX.256.66.0F.WIG 10 /r                 |VMOVUPD ymm1, ymm2/m256
VEX.256.66.0F.WIG 11 /r                 |VMOVUPD ymm2/m256, ymm1
MOVUPS—Move
NP 0F 10 /r                             |MOVUPS xmm1, xmm2/m128
NP 0F 11 /r                             |MOVUPS xmm2/m128, xmm1
VEX.128.0F.WIG 10 /r                    |VMOVUPS xmm1, xmm2/m128
VEX.128.0F.WIG 11 /r                    |VMOVUPS xmm2/m128, xmm1
VEX.256.0F.WIG 10 /r                    |VMOVUPS ymm1, ymm2/m256
VEX.256.0F.WIG 11 /r                    |VMOVUPS ymm2/m256, ymm1
MOVZX—Move
0F B6 /r                                |MOVZX r16, r/m8
0F B6 /r                                |MOVZX r32, r/m8
REX.W + 0F B6 /r                        |MOVZX r64, r/m8
0F B7 /r                                |MOVZX r32, r/m16
REX.W + 0F B7 /r                        |MOVZX r64, r/m16
MPSADBW—Compute
66 0F 3A 42 /r ib                       |MPSADBW xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 42 /r ib            |VMPSADBW xmm1, xmm2, xmm3/m128, imm8
VEX.256.66.0F3A.WIG 42 /r ib            |VMPSADBW ymm1, ymm2, ymm3/m256, imm8
MUL—Unsigned
F6 /4                                   |MUL r/m8
REX + F6 /4                             |MUL r/m8
F7 /4                                   |MUL r/m16
F7 /4                                   |MUL r/m32
REX.W + F7 /4                           |MUL r/m64
MULPD—Multiply
66 0F 59 /r                             |MULPD xmm1, xmm2/m128
VEX.128.66.0F.WIG 59 /r                 |VMULPD xmm1,xmm2, xmm3/m128
VEX.256.66.0F.WIG 59 /r                 |VMULPD ymm1, ymm2, ymm3/m256
MULPS—Multiply
NP 0F 59 /r                             |MULPS xmm1, xmm2/m128
VEX.128.0F.WIG 59 /r                    |VMULPS xmm1,xmm2, xmm3/m128
VEX.256.0F.WIG 59 /r                    |VMULPS ymm1, ymm2, ymm3/m256
MULSD—Multiply
F2 0F 59 /r                             |MULSD xmm1,xmm2/m64
VEX.LIG.F2.0F.WIG 59 /r                 |VMULSD xmm1,xmm2, xmm3/m64
MULSS—Multiply
F3 0F 59 /r                             |MULSS xmm1,xmm2/m32
VEX.LIG.F3.0F.WIG 59 /r                 |VMULSS xmm1,xmm2, xmm3/m32
MULX—Unsigned
VEX.LZ.F2.0F38.W0 F6 /r                 |MULX r32a, r32b, r/m32
VEX.LZ.F2.0F38.W1 F6 /r                 |MULX r64a, r64b, r/m64
MWAIT—Monitor
0F 01 C9                                |MWAIT
NEG—Two's
F6 /3                                   |NEG r/m8
REX + F6 /3                             |NEG r/m8
F7 /3                                   |NEG r/m16
F7 /3                                   |NEG r/m32
REX.W + F7 /3                           |NEG r/m64
NOP—No
NP 90                                   |NOP
NP 0F 1F /0                             |NOP r/m16
NP 0F 1F /0                             |NOP r/m32
NOT—One's
F6 /2                                   |NOT r/m8
REX + F6 /2                             |NOT r/m8
F7 /2                                   |NOT r/m16
F7 /2                                   |NOT r/m32
REX.W + F7 /2                           |NOT r/m64
OR—Logical
0C ib                                   |OR AL, imm8
0D iw                                   |OR AX, imm16
0D id                                   |OR EAX, imm32
REX.W + 0D id                           |OR RAX, imm32
80 /1 ib                                |OR r/m8, imm8
REX + 80 /1 ib                          |OR r/m8, imm8
81 /1 iw                                |OR r/m16, imm16
81 /1 id                                |OR r/m32, imm32
REX.W + 81 /1 id                        |OR r/m64, imm32
83 /1 ib                                |OR r/m16, imm8
83 /1 ib                                |OR r/m32, imm8
REX.W + 83 /1 ib                        |OR r/m64, imm8
08 /r                                   |OR r/m8, r8
REX + 08 /r                             |OR r/m8, r8
09 /r                                   |OR r/m16, r16
09 /r                                   |OR r/m32, r32
REX.W + 09 /r                           |OR r/m64, r64
0A /r                                   |OR r8, r/m8
REX + 0A /r                             |OR r8, r/m8
0B /r                                   |OR r16, r/m16
0B /r                                   |OR r32, r/m32
REX.W + 0B /r                           |OR r64, r/m64
ORPD—Bitwise
66 0F 56/r                              |ORPD xmm1, xmm2/m128
VEX.128.66.0F 56 /r                     |VORPD xmm1,xmm2, xmm3/m128
VEX.256.66.0F 56 /r                     |VORPD ymm1, ymm2, ymm3/m256
ORPS—Bitwise
NP 0F 56 /r                             |ORPS xmm1, xmm2/m128
VEX.128.0F 56 /r                        |VORPS xmm1,xmm2, xmm3/m128
VEX.256.0F 56 /r                        |VORPS ymm1, ymm2, ymm3/m256
OUT—Output
E6 ib                                   |OUT imm8, AL
E7 ib                                   |OUT imm8, AX
E7 ib                                   |OUT imm8, EAX
EE                                      |OUT DX, AL
EF                                      |OUT DX, AX
EF                                      |OUT DX, EAX
OUTS/OUTSB/OUTSW/OUTSD—Output
6E                                      |OUTS DX, m8
6F                                      |OUTS DX, m16
6F                                      |OUTS DX, m32
6E                                      |OUTSB
6F                                      |OUTSW
6F                                      |OUTSD
PABSB/PABSW/PABSD/PABSQ—Packed
NP 0F 38 1C /r1                         |PABSB mm1, mm2/m64
66 0F 38 1C /r                          |PABSB xmm1, xmm2/m128
NP 0F 38 1D /r1                         |PABSW mm1, mm2/m64
66 0F 38 1D /r                          |PABSW xmm1, xmm2/m128
NP 0F 38 1E /r1                         |PABSD mm1, mm2/m64
66 0F 38 1E /r                          |PABSD xmm1, xmm2/m128
VEX.128.66.0F38.WIG 1C /r               |VPABSB xmm1, xmm2/m128
VEX.128.66.0F38.WIG 1D /r               |VPABSW xmm1, xmm2/m128
VEX.128.66.0F38.WIG 1E /r               |VPABSD xmm1, xmm2/m128
VEX.256.66.0F38.WIG 1C /r               |VPABSB ymm1, ymm2/m256
VEX.256.66.0F38.WIG 1D /r               |VPABSW ymm1, ymm2/m256
VEX.256.66.0F38.WIG 1E /r               |VPABSD ymm1, ymm2/m256
PACKSSWB/PACKSSDW—Pack
NP 0F 63 /r1                            |PACKSSWB mm1, mm2/m64
66 0F 63 /r                             |PACKSSWB xmm1, xmm2/m128
NP 0F 6B /r1                            |PACKSSDW mm1, mm2/m64
66 0F 6B /r                             |PACKSSDW xmm1, xmm2/m128
VEX.128.66.0F.WIG 63 /r                 |VPACKSSWB xmm1,xmm2, xmm3/m128
VEX.128.66.0F.WIG 6B /r                 |VPACKSSDW xmm1,xmm2, xmm3/m128
VEX.256.66.0F.WIG 63 /r                 |VPACKSSWB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 6B /r                 |VPACKSSDW ymm1, ymm2, ymm3/m256
PACKUSDW—Pack
66 0F 38 2B /r                          |PACKUSDW xmm1, xmm2/m128
VEX.128.66.0F38 2B /r                   |VPACKUSDW xmm1,xmm2,xmm3/m128
VEX.256.66.0F38 2B /r                   |VPACKUSDW ymm1, ymm2,ymm3/m256
PACKUSWB—Pack
NP 0F 67 /r1                            |PACKUSWB mm, mm/m64
66 0F 67 /r                             |PACKUSWB xmm1, xmm2/m128
VEX.128.66.0F.WIG 67 /r                 |VPACKUSWB xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG 67 /r                 |VPACKUSWB ymm1, ymm2, ymm3/m256
PADDB/PADDW/PADDD/PADDQ—Add
NP 0F FC /r1                            |PADDB mm, mm/m64
NP 0F FD /r1                            |PADDW mm, mm/m64
NP 0F FE /r1                            |PADDD mm, mm/m64
NP 0F D4 /r1                            |PADDQ mm, mm/m64
66 0F FC /r                             |PADDB xmm1, xmm2/m128
66 0F FD /r                             |PADDW xmm1, xmm2/m128
66 0F FE /r                             |PADDD xmm1, xmm2/m128
66 0F D4 /r                             |PADDQ xmm1, xmm2/m128
VEX.128.66.0F.WIG FC /r                 |VPADDB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG FD /r                 |VPADDW xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG FE /r                 |VPADDD xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG D4 /r                 |VPADDQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG FC /r                 |VPADDB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG FD /r                 |VPADDW ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG FE /r                 |VPADDD ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG D4 /r                 |VPADDQ ymm1, ymm2, ymm3/m256
PADDSB/PADDSW—Add
NP 0F EC /r1                            |PADDSB mm, mm/m64
66 0F EC /r                             |PADDSB xmm1, xmm2/m128
NP 0F ED /r1                            |PADDSW mm, mm/m64
66 0F ED /r                             |PADDSW xmm1, xmm2/m128
VEX.128.66.0F.WIG EC /r                 |VPADDSB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG ED /r                 |VPADDSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG EC /r                 |VPADDSB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG ED /r                 |VPADDSW ymm1, ymm2, ymm3/m256
PADDUSB/PADDUSW—Add
NP 0F DC /r1                            |PADDUSB mm, mm/m64
66 0F DC /r                             |PADDUSB xmm1, xmm2/m128
NP 0F DD /r1                            |PADDUSW mm, mm/m64
66 0F DD /r                             |PADDUSW xmm1, xmm2/m128
VEX.128.660F.WIG DC /r                  |VPADDUSB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG DD /r                 |VPADDUSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG DC /r                 |VPADDUSB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG DD /r                 |VPADDUSW ymm1, ymm2, ymm3/m256
PALIGNR—Packed
NP 0F 3A 0F /r ib1                      |PALIGNR mm1, mm2/m64, imm8
66 0F 3A 0F /r ib                       |PALIGNR xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 0F /r ib            |VPALIGNR xmm1, xmm2, xmm3/m128,imm8
VEX.256.66.0F3A.WIG 0F /r ib            |VPALIGNR ymm1, ymm2, ymm3/m256,imm8
PAND—Logical
NP 0F DB /r1                            |PAND mm, mm/m64
66 0F DB /r                             |PAND xmm1, xmm2/m128
VEX.128.66.0F.WIG DB /r                 |VPAND xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG DB /r                 |VPAND ymm1, ymm2, ymm3/.m256
PANDN—Logical
NP 0F DF /r1                            |PANDN mm, mm/m64
66 0F DF /r                             |PANDN xmm1, xmm2/m128
VEX.128.66.0F.WIG DF /r                 |VPANDN xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG DF /r                 |VPANDN ymm1, ymm2, ymm3/m256
PAUSE—Spin
F3 90                                   |PAUSE
PAVGB/PAVGW—Average
NP 0F E0 /r1                            |PAVGB mm1, mm2/m64
66 0F E0, /r                            |PAVGB xmm1, xmm2/m128
NP 0F E3 /r1                            |PAVGW mm1, mm2/m64
66 0F E3 /r                             |PAVGW xmm1, xmm2/m128
VEX.128.66.0F.WIG E0 /r                 |VPAVGB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG E3 /r                 |VPAVGW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG E0 /r                 |VPAVGB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG E3 /r                 |VPAVGW ymm1, ymm2, ymm3/m256
PBLENDVB—Variable
66 0F 38 10 /r                          |PBLENDVB xmm1, xmm2/m128, <XMM0>
VEX.128.66.0F3A.W0 4C /r /is4           |VPBLENDVB xmm1, xmm2, xmm3/m128, xmm4
VEX.256.66.0F3A.W0 4C /r /is4           |VPBLENDVB ymm1, ymm2, ymm3/m256, ymm4
PBLENDW—Blend
66 0F 3A 0E /r ib                       |PBLENDW xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 0E /r ib            |VPBLENDW xmm1, xmm2, xmm3/m128, imm8
VEX.256.66.0F3A.WIG 0E /r ib            |VPBLENDW ymm1, ymm2, ymm3/m256, imm8
PCLMULQDQ—Carry-Less
66 0F 3A 44 /r ib                       |PCLMULQDQ xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 44 /r ib            |VPCLMULQDQ xmm1, xmm2, xmm3/m128, imm8
VEX.256.66.0F3A.WIG 44 /r /ib           |VPCLMULQDQ ymm1, ymm2, ymm3/m256, imm8
PCMPEQB/PCMPEQW/PCMPEQD—
NP 0F 74 /r1                            |PCMPEQB mm, mm/m64
66 0F 74 /r                             |PCMPEQB xmm1, xmm2/m128
NP 0F 75 /r1                            |PCMPEQW mm, mm/m64
66 0F 75 /r                             |PCMPEQW xmm1, xmm2/m128
NP 0F 76 /r1                            |PCMPEQD mm, mm/m64
66 0F 76 /r                             |PCMPEQD xmm1, xmm2/m128
VEX.128.66.0F.WIG 74 /r                 |VPCMPEQB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 75 /r                 |VPCMPEQW xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 76 /r                 |VPCMPEQD xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG 74 /r                 |VPCMPEQB ymm1, ymm2, ymm3 /m256
VEX.256.66.0F.WIG 75 /r                 |VPCMPEQW ymm1, ymm2, ymm3 /m256
VEX.256.66.0F.WIG 76 /r                 |VPCMPEQD ymm1, ymm2, ymm3 /m256
PCMPEQQ—Compare
66 0F 38 29 /r                          |PCMPEQQ xmm1, xmm2/m128
VEX.128.66.0F38.WIG 29 /r               |VPCMPEQQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 29 /r               |VPCMPEQQ ymm1, ymm2, ymm3 /m256
PCMPESTRI—Packed
66 0F 3A 61 /r imm8                     |PCMPESTRI xmm1, xmm2/m128, imm8
VEX.128.66.0F3A 61 /r ib                |VPCMPESTRI xmm1, xmm2/m128, imm8
PCMPESTRM—Packed
66 0F 3A 60 /r imm8                     |PCMPESTRM xmm1, xmm2/m128, imm8
VEX.128.66.0F3A 60 /r ib                |VPCMPESTRM xmm1, xmm2/m128, imm8
PCMPGTB/PCMPGTW/PCMPGTD—Compare
NP 0F 64 /r1                            |PCMPGTB mm, mm/m64
66 0F 64 /r                             |PCMPGTB xmm1, xmm2/m128
NP 0F 65 /r1                            |PCMPGTW mm, mm/m64
66 0F 65 /r                             |PCMPGTW xmm1, xmm2/m128
NP 0F 66 /r1                            |PCMPGTD mm, mm/m64
66 0F 66 /r                             |PCMPGTD xmm1, xmm2/m128
VEX.128.66.0F.WIG 64 /r                 |VPCMPGTB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 65 /r                 |VPCMPGTW xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 66 /r                 |VPCMPGTD xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG 64 /r                 |VPCMPGTB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 65 /r                 |VPCMPGTW ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 66 /r                 |VPCMPGTD ymm1, ymm2, ymm3/m256
PCMPGTQ—Compare
66 0F 38 37 /r                          |PCMPGTQ xmm1,xmm2/m128
VEX.128.66.0F38.WIG 37 /r               |VPCMPGTQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 37 /r               |VPCMPGTQ ymm1, ymm2, ymm3/m256
PCMPISTRI—Packed
66 0F 3A 63 /r imm8                     |PCMPISTRI xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 63 /r ib            |VPCMPISTRI xmm1, xmm2/m128, imm8
PCMPISTRM—Packed
66 0F 3A 62 /r imm8                     |PCMPISTRM xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 62 /r ib            |VPCMPISTRM xmm1, xmm2/m128, imm8
PCONFIG—Platform
NP 0F 01 C5                             |PCONFIG
PDEP—Parallel
VEX.LZ.F2.0F38.W0 F5 /r                 |PDEP r32a, r32b, r/m32
VEX.LZ.F2.0F38.W1 F5 /r                 |PDEP r64a, r64b, r/m64
PEXT—Parallel
VEX.LZ.F3.0F38.W0 F5 /r                 |PEXT r32a, r32b, r/m32
VEX.LZ.F3.0F38.W1 F5 /r                 |PEXT r64a, r64b, r/m64
PEXTRB/PEXTRD/PEXTRQ—Extract
66 0F 3A 14 /r ib                       |PEXTRB reg/m8, xmm2, imm8
66 0F 3A 16 /r ib                       |PEXTRD r/m32, xmm2, imm8
66 REX.W 0F 3A 16 /r ib                 |PEXTRQ r/m64, xmm2, imm8
VEX.128.66.0F3A.W0 14 /r ib             |VPEXTRB reg/m8, xmm2, imm8
VEX.128.66.0F3A.W0 16 /r ib             |VPEXTRD r32/m32, xmm2, imm8
VEX.128.66.0F3A.W1 16 /r ib             |VPEXTRQ r64/m64, xmm2, imm8
PEXTRW—Extract
NP 0F C5 /r ib1                         |PEXTRW reg, mm, imm8
66 0F C5 /r ib                          |PEXTRW reg, xmm, imm8
66 0F 3A 15 /r ib                       |PEXTRW reg/m16, xmm, imm8
VEX.128.66.0F.W0 C5 /r ib               |VPEXTRW reg, xmm1, imm8
VEX.128.66.0F3A.W0 15 /r ib             |VPEXTRW reg/m16, xmm2, imm8
PHADDW/PHADDD—Packed
NP 0F 38 01 /r1                         |PHADDW mm1, mm2/m64
66 0F 38 01 /r                          |PHADDW xmm1, xmm2/m128
NP 0F 38 02 /r                          |PHADDD mm1, mm2/m64
66 0F 38 02 /r                          |PHADDD xmm1, xmm2/m128
VEX.128.66.0F38.WIG 01 /r               |VPHADDW xmm1, xmm2, xmm3/m128
VEX.128.66.0F38.WIG 02 /r               |VPHADDD xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 01 /r               |VPHADDW ymm1, ymm2, ymm3/m256
VEX.256.66.0F38.WIG 02 /r               |VPHADDD ymm1, ymm2, ymm3/m256
PHADDSW—Packed
NP 0F 38 03 /r1                         |PHADDSW mm1, mm2/m64
66 0F 38 03 /r                          |PHADDSW xmm1, xmm2/m128
VEX.128.66.0F38.WIG 03 /r               |VPHADDSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 03 /r               |VPHADDSW ymm1, ymm2, ymm3/m256
PHMINPOSUW—Packed
66 0F 38 41 /r                          |PHMINPOSUW xmm1, xmm2/m128
VEX.128.66.0F38.WIG 41 /r               |VPHMINPOSUW xmm1, xmm2/m128
PHSUBW/PHSUBD—Packed
NP 0F 38 05 /r1                         |PHSUBW mm1, mm2/m64
66 0F 38 05 /r                          |PHSUBW xmm1, xmm2/m128
NP 0F 38 06 /r                          |PHSUBD mm1, mm2/m64
66 0F 38 06 /r                          |PHSUBD xmm1, xmm2/m128
VEX.128.66.0F38.WIG 05 /r               |VPHSUBW xmm1, xmm2, xmm3/m128
VEX.128.66.0F38.WIG 06 /r               |VPHSUBD xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 05 /r               |VPHSUBW ymm1, ymm2, ymm3/m256
VEX.256.66.0F38.WIG 06 /r               |VPHSUBD ymm1, ymm2, ymm3/m256
PHSUBSW—Packed
NP 0F 38 07 /r1                         |PHSUBSW mm1, mm2/m64
66 0F 38 07 /r                          |PHSUBSW xmm1, xmm2/m128
VEX.128.66.0F38.WIG 07 /r               |VPHSUBSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 07 /r               |VPHSUBSW ymm1, ymm2, ymm3/m256
PINSRB/PINSRD/PINSRQ—Insert
66 0F 3A 20 /r ib                       |PINSRB xmm1, r32/m8, imm8
66 0F 3A 22 /r ib                       |PINSRD xmm1, r/m32, imm8
66 REX.W 0F 3A 22 /r ib                 |PINSRQ xmm1, r/m64, imm8
VEX.128.66.0F3A.W0 20 /r ib             |VPINSRB xmm1, xmm2, r32/m8, imm8
VEX.128.66.0F3A.W0 22 /r ib             |VPINSRD xmm1, xmm2, r/m32, imm8
VEX.128.66.0F3A.W1 22 /r ib             |VPINSRQ xmm1, xmm2, r/m64, imm8
PINSRW—Insert
NP 0F C4 /r ib1                         |PINSRW mm, r32/m16, imm8
66 0F C4 /r ib                          |PINSRW xmm, r32/m16, imm8
VEX.128.66.0F.W0 C4 /r ib               |VPINSRW xmm1, xmm2, r32/m16, imm8
PMADDUBSW—Multiply
NP 0F 38 04 /r1                         |PMADDUBSW mm1, mm2/m64
66 0F 38 04 /r                          |PMADDUBSW xmm1, xmm2/m128
VEX.128.66.0F38.WIG 04 /r               |VPMADDUBSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 04 /r               |VPMADDUBSW ymm1, ymm2, ymm3/m256
PMADDWD—Multiply
NP 0F F5 /r1                            |PMADDWD mm, mm/m64
66 0F F5 /r                             |PMADDWD xmm1, xmm2/m128
VEX.128.66.0F.WIG F5 /r                 |VPMADDWD xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG F5 /r                 |VPMADDWD ymm1, ymm2, ymm3/m256
PMAXSB/PMAXSW/PMAXSD/PMAXSQ—Maximum
NP 0F EE /r1                            |PMAXSW mm1, mm2/m64
66 0F 38 3C /r                          |PMAXSB xmm1, xmm2/m128
66 0F EE /r                             |PMAXSW xmm1, xmm2/m128
66 0F 38 3D /r                          |PMAXSD xmm1, xmm2/m128
VEX.128.66.0F38.WIG 3C /r               |VPMAXSB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG EE /r                 |VPMAXSW xmm1, xmm2, xmm3/m128
VEX.128.66.0F38.WIG 3D /r               |VPMAXSD xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 3C /r               |VPMAXSB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG EE /r                 |VPMAXSW ymm1, ymm2, ymm3/m256
VEX.256.66.0F38.WIG 3D /r               |VPMAXSD ymm1, ymm2, ymm3/m256
PMAXUB/PMAXUW—Maximum
NP 0F DE /r1                            |PMAXUB mm1, mm2/m64
66 0F DE /r                             |PMAXUB xmm1, xmm2/m128
66 0F 38 3E/r                           |PMAXUW xmm1, xmm2/m128
VEX.128.66.0F DE /r                     |VPMAXUB xmm1, xmm2, xmm3/m128
VEX.128.66.0F38 3E/r                    |VPMAXUW xmm1, xmm2, xmm3/m128
VEX.256.66.0F DE /r                     |VPMAXUB ymm1, ymm2, ymm3/m256
VEX.256.66.0F38 3E/r                    |VPMAXUW ymm1, ymm2, ymm3/m256
PMAXUD/PMAXUQ—Maximum
66 0F 38 3F /r                          |PMAXUD xmm1, xmm2/m128
VEX.128.66.0F38.WIG 3F /r               |VPMAXUD xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 3F /r               |VPMAXUD ymm1, ymm2, ymm3/m256
PMINSB/PMINSW—Minimum
NP 0F EA /r1                            |PMINSW mm1, mm2/m64
66 0F 38 38 /r                          |PMINSB xmm1, xmm2/m128
66 0F EA /r                             |PMINSW xmm1, xmm2/m128
VEX.128.66.0F38 38 /r                   |VPMINSB xmm1, xmm2, xmm3/m128
VEX.128.66.0F EA /r                     |VPMINSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F38 38 /r                   |VPMINSB ymm1, ymm2, ymm3/m256
VEX.256.66.0F EA /r                     |VPMINSW ymm1, ymm2, ymm3/m256
PMINSD/PMINSQ—Minimum
66 0F 38 39 /r                          |PMINSD xmm1, xmm2/m128
VEX.128.66.0F38.WIG 39 /r               |VPMINSD xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 39 /r               |VPMINSD ymm1, ymm2, ymm3/m256
PMINUB/PMINUW—Minimum
NP 0F DA /r1                            |PMINUB mm1, mm2/m64
66 0F DA /r                             |PMINUB xmm1, xmm2/m128
66 0F 38 3A/r                           |PMINUW xmm1, xmm2/m128
VEX.128.66.0F DA /r                     |VPMINUB xmm1, xmm2, xmm3/m128
VEX.128.66.0F38 3A/r                    |VPMINUW xmm1, xmm2, xmm3/m128
VEX.256.66.0F DA /r                     |VPMINUB ymm1, ymm2, ymm3/m256
VEX.256.66.0F38 3A/r                    |VPMINUW ymm1, ymm2, ymm3/m256
PMINUD/PMINUQ—Minimum
66 0F 38 3B /r                          |PMINUD xmm1, xmm2/m128
VEX.128.66.0F38.WIG 3B /r               |VPMINUD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.WIG 3B /r               |VPMINUD ymm1, ymm2,ymm3/m256
PMOVMSKB—Move
NP 0F D7 /r1                            |PMOVMSKB reg, mm
66 0F D7 /r                             |PMOVMSKB reg, xmm
VEX.128.66.0F.WIG D7 /r                 |VPMOVMSKB reg, xmm1
VEX.256.66.0F.WIG D7 /r                 |VPMOVMSKB reg, ymm1
PMOVSX—Packed
66 0f 38 20 /r                          |PMOVSXBW xmm1, xmm2/m64
66 0f 38 21 /r                          |PMOVSXBD xmm1, xmm2/m32
66 0f 38 22 /r                          |PMOVSXBQ xmm1, xmm2/m16
66 0f 38 23/r                           |PMOVSXWD xmm1, xmm2/m64
66 0f 38 24 /r                          |PMOVSXWQ xmm1, xmm2/m32
66 0f 38 25 /r                          |PMOVSXDQ xmm1, xmm2/m64
